"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Thu Sep 07 20:49:28 EDT 2023","Thu Sep 07 20:49:29 EDT 2023","1921","","Securion Financial Test Scenarios","","","","Validate All required Feilds",""
"passed","Thu Sep 07 20:49:21 EDT 2023","Thu Sep 07 20:49:28 EDT 2023","6067","","Securion Financial Test Scenarios","","","","""before all"" hook for Securion Financial Test Scenarios",""
"skipped","Fri Sep 08 11:29:18 EDT 2023","Fri Sep 08 11:29:18 EDT 2023","0","","Securion Financial Test Scenarios : ","","","","Validate Social Security Feild Additional feilds displayed when set to True",""
"skipped","Fri Sep 08 11:29:18 EDT 2023","Fri Sep 08 11:29:18 EDT 2023","1","","Securion Financial Test Scenarios : ","","","","Validate End 2 End Scenario",""
"passed","Fri Sep 08 11:28:50 EDT 2023","Fri Sep 08 11:28:59 EDT 2023","9477","","Securion Financial Test Scenarios : ","","","","SF -Validate Default calculator",""
"skipped","Fri Sep 08 11:29:18 EDT 2023","Fri Sep 08 11:29:18 EDT 2023","0","","Securion Financial Test Scenarios : ","","","","Validate Social Security Feild Additional feilds NOT displayed when set to False",""
"passed","Thu Sep 07 20:49:29 EDT 2023","Thu Sep 07 20:49:29 EDT 2023","0","","Securion Financial Test Scenarios","","","","Validate End 2 End Scenario",""
"passed","Fri Sep 08 11:28:43 EDT 2023","Fri Sep 08 11:28:50 EDT 2023","6198","","Securion Financial Test Scenarios : ","","","","SF -Validate Social Security Feild Additional feilds NOT displayed when set to No",""
"passed","Fri Sep 08 01:47:48 EDT 2023","Fri Sep 08 01:47:55 EDT 2023","7109","","Securion Financial Test Scenarios : ","","","","""before all"" hook for Securion Financial Test Scenarios : ",""
"passed","Thu Sep 07 20:49:29 EDT 2023","Thu Sep 07 20:49:29 EDT 2023","1","","Securion Financial Test Scenarios","","","","Validate Social Security Feild Additional feilds displayed when set to True",""
"skipped","Fri Sep 08 11:29:18 EDT 2023","Fri Sep 08 11:29:18 EDT 2023","0","","Securion Financial Test Scenarios : ","","","","Validate Default calculator",""
"passed","Thu Sep 07 20:49:29 EDT 2023","Thu Sep 07 20:49:29 EDT 2023","0","","Securion Financial Test Scenarios","","","","Validate Social Security Feild Additional feilds NOT displayed when set to False",""
"passed","Thu Sep 07 20:49:29 EDT 2023","Thu Sep 07 20:49:29 EDT 2023","0","","Securion Financial Test Scenarios","","","","Validate Default calculator",""
"skipped","Fri Sep 08 11:29:18 EDT 2023","Fri Sep 08 11:29:18 EDT 2023","1","","Securion Financial Test Scenarios : ","","","","SF -Validate All required Feilds",""
"broken","Fri Sep 08 01:50:20 EDT 2023","Fri Sep 08 01:50:31 EDT 2023","11048","","Securion Financial Test Scenarios : ","","","","SF -Validate Social Security Feild Additional feilds displayed when set to True",""
"passed","Fri Sep 08 11:28:59 EDT 2023","Fri Sep 08 11:29:05 EDT 2023","5722","","Securion Financial Test Scenarios : ","","","","""before each"" hook for Securion Financial Test Scenarios : ",""
"broken","Fri Sep 08 01:50:31 EDT 2023","Fri Sep 08 01:50:42 EDT 2023","10974","","Securion Financial Test Scenarios : ","","","","SF -Validate Social Security Feild Additional feilds NOT displayed when set to False",""
"passed","Fri Sep 08 11:28:37 EDT 2023","Fri Sep 08 11:28:43 EDT 2023","6600","","Securion Financial Test Scenarios : ","","","","SF -Validate Social Security Feild Additional feilds displayed when set to Yes",""
"skipped","Fri Sep 08 11:29:21 EDT 2023","Fri Sep 08 11:29:21 EDT 2023","1","","My Login application","","","","should login with valid credentials",""
